p=2,,,,,,,
q=3,,,,w1,1.369961336,,
,,,,w2,-0.373131519,MSE,41.55679039
Date,Y,Y(t-1),Y(t-2),Predict_AR,Err,Predict_MA,Predict
1/1/1990,84.6447,84.404,69.2555,89.7888067,5.144106699,-5.928997208,83.85980949
2/1/1990,77.4221,84.6447,84.404,84.46617358,7.044073579,-4.574032562,79.89214102
3/1/1990,73.4205,77.4221,84.6447,74.48167808,1.061178077,-0.662758939,73.81891914
4/1/1990,67.4636,73.4205,77.4221,71.6946205,4.231020503,4.416452785,76.11107329
5/1/1990,66.0145,67.4636,73.4205,65.02702091,-0.987479094,4.112090719,69.13911163
6/1/1990,71.6535,66.0145,67.4636,65.26451708,-6.388982921,1.434906495,66.69942357
7/1/1990,76.8376,71.6535,66.0145,73.53043394,-3.307166063,-1.048480504,72.48195343
8/1/1990,77.3265,76.8376,71.6535,78.52836186,1.201861864,-3.561209359,74.9671525
9/1/1990,73.277,77.3265,76.8376,77.26378485,3.986784854,-2.83142904,74.43235581
10/1/1990,67.6237,73.277,77.3265,71.53370242,3.910002424,0.627160218,72.16086264
11/1/1990,68.7675,67.6237,73.277,65.29989609,-3.467603911,3.032883047,68.33277914
12/1/1990,77.9179,68.7675,67.6237,68.97628228,-8.941617719,1.476394456,70.45267674
1/1/1991,86.2914,77.9179,68.7675,81.08518866,-5.206211341,-2.833073069,78.25211559
2/1/1991,77.8027,86.2914,77.9179,89.14225726,11.33955726,-5.871810991,83.27044626
3/1/1991,73.6061,77.8027,86.2914,74.38864969,0.782549689,-0.936090602,73.45255909
4/1/1991,67.3549,73.6061,77.8027,71.80687147,4.451971471,2.305298534,74.11217
5/1/1991,69.0228,67.3549,73.6061,64.8088529,-4.213947101,5.524692805,70.3335457
6/1/1991,75.0839,69.0228,67.3549,69.42633116,-5.657568838,0.340191353,69.76652252
7/1/1991,80.3488,75.0839,69.0228,77.10745776,-3.241342244,-1.806514823,75.30094293
8/1/1991,79.4052,80.3488,75.0839,82.05857974,2.653379744,-4.370952728,77.68762702
9/1/1991,73.8126,79.4052,80.3488,78.80138409,4.988784094,-2.081843779,76.71954031
10/1/1991,68.9572,73.8126,79.4052,71.49182523,2.534625227,1.466940531,72.95876576
11/1/1991,72.7156,68.9572,73.8126,66.92689029,-5.788709711,3.392263022,70.31915331
12/1/1991,79.7391,72.7156,68.9572,73.88745575,-5.851644249,0.578233204,74.46568895
1/1/1992,85.556,79.7391,72.7156,82.10700169,-3.448998306,-3.035242911,79.07175878
2/1/1992,80.4178,85.556,79.7391,87.45524057,7.037440567,-5.029784089,82.42545648
3/1/1992,74.739,80.4178,85.556,78.2456365,3.506636498,-0.754400663,77.49123583
4/1/1992,69.8367,74.739,80.4178,72.38312443,2.546424433,2.365026253,74.74815069
5/1/1992,67.3781,69.8367,74.739,67.78610225,0.408002245,4.363500499,72.14960274
6/1/1992,71.4197,67.3781,69.8367,66.24711795,-5.172582051,2.153687725,68.40080567
7/1/1992,77.7263,71.4197,67.3781,72.70133484,-5.024965163,-0.739385124,71.96194971
8/1/1992,76.7791,77.7263,71.4197,79.83308465,3.053984652,-3.263181656,76.569903
9/1/1992,72.5681,76.7791,77.7263,76.18226604,3.614166038,-2.38118752,73.80107852
10/1/1992,69.2363,72.5681,76.7791,70.76678903,1.530489027,0.547728509,71.31451754
11/1/1992,73.7175,69.2363,72.5681,67.77360867,-5.943891327,2.732879905,70.50648858
12/1/1992,84.7818,73.7175,69.2363,75.15587901,-9.625920993,-0.266412087,74.88946692
1/1/1993,88.2287,84.7818,73.7175,88.64146525,0.412765254,-4.679774431,83.96169082
2/1/1993,84.7919,88.2287,84.7818,89.23514592,4.443245919,-5.052349022,84.1827969
3/1/1993,79.6885,84.7919,88.2287,83.24071577,3.552215767,-1.58996994,81.65074583
4/1/1993,71.2731,79.6885,84.7919,77.53163349,6.258533489,2.802742313,80.3343758
5/1/1993,67.9111,71.2731,79.6885,67.90710026,-0.003999745,4.751331725,72.65843198
6/1/1993,74.5503,67.9111,71.2731,66.44134123,-8.108958772,3.268916504,69.71025773
7/1/1993,82.3366,74.5503,67.9111,76.7912567,-5.545343304,-0.618141676,76.17311502
8/1/1993,82.2906,82.3366,74.5503,84.98089187,2.690291867,-4.552767274,80.42812459
9/1/1993,74.8323,82.2906,82.3366,82.0125597,7.1802597,-3.65467007,78.35788963
10/1/1993,69.8758,74.8323,82.2906,71.81214112,1.936341117,1.441736087,73.2538772
11/1/1993,74.6278,69.8758,74.8323,67.80485456,-6.822945437,3.935630895,71.74048546
12/1/1993,84.4669,74.6278,69.8758,76.1643372,-8.302562795,0.764551793,76.928889
1/1/1994,94.4017,84.4669,74.6278,87.87040281,-6.531297192,-4.396389039,83.47401377
2/1/1994,87.4053,94.4017,84.4669,97.80941636,10.40411636,-7.218935142,90.59048122
3/1/1994,79.4751,87.4053,94.4017,84.51763186,5.042531857,-1.476581209,83.04105065
4/1/1994,71.1817,79.4751,87.4053,76.26414183,5.082441828,2.971783675,79.2359255
5/1/1994,69.5934,71.1817,79.4751,67.86151206,-1.731887945,6.843030016,74.70454207
6/1/1994,78.1988,69.5934,71.1817,68.7801314,-9.418668596,2.797695247,71.57782665
7/1/1994,83.5287,78.1988,69.5934,81.16184148,-2.366858524,-2.022704904,79.13913657
8/1/1994,82.1321,83.5287,78.1988,85.25265243,3.120552429,-4.505805021,80.74684741
9/1/1994,75.9181,82.1321,83.5287,81.35061074,5.432510744,-2.888324897,78.46228585
10/1/1994,71.4802,75.9181,82.1321,73.35878648,1.878586482,2.062068216,75.4208547
11/1/1994,75.4754,71.4802,75.9181,69.59767433,-5.877725673,3.477216552,73.07489088
12/1/1994,85.0772,75.4754,71.4802,76.72686422,-8.350335776,0.477790518,77.20465474
1/1/1995,92.7412,85.0772,75.4754,88.39022394,-4.350976064,-4.116491656,84.27373228
2/1/1995,87.667,92.7412,85.0772,95.3068734,7.639873397,-6.193012504,89.11386089
3/1/1995,81.5205,87.667,92.7412,85.49573563,3.975235625,-1.687146148,83.80858948
4/1/1995,74.0457,81.5205,87.667,78.96861223,4.922912227,2.421377653,81.38998988
5/1/1995,73.5003,74.0457,81.5205,71.02187811,-2.478421887,5.51267375,76.53455186
6/1/1995,78.5503,73.5003,74.0457,73.06378468,-5.486515322,2.139908655,75.20369333
7/1/1995,86.2425,78.5503,73.5003,80.18559535,-6.056904645,-1.014008328,79.17158703
8/1/1995,89.8063,86.2425,78.5503,88.83929777,-0.967002227,-4.673947285,84.16535049
9/1/1995,78.7442,89.8063,86.2425,90.85136371,12.10716371,-4.170140731,86.68122298
10/1/1995,73.9353,78.7442,89.8063,74.36694831,0.431648311,1.694418947,76.06136726
11/1/1995,79.8903,73.9353,78.7442,71.90655942,-7.983740583,3.857269933,75.76382935
12/1/1995,91.0933,79.8903,73.9353,81.85903133,-9.234268666,1.518357147,83.37738848
1/1/1996,99.2688,91.0933,79.8903,94.98470999,-4.284090013,-5.595453646,89.38925634
2/1/1996,93.1691,99.2688,91.0933,102.0046365,8.835536483,-7.16736642,94.83727006
3/1/1996,87.2075,93.1691,99.2688,90.59774659,3.39024659,-1.560940732,89.03680586
4/1/1996,77.4715,87.2075,93.1691,84.70657541,7.235075414,2.64723102,87.35380643
5/1/1996,76.9337,77.4715,87.2075,73.59309271,-3.34060729,6.486952829,80.08004554
6/1/1996,82.1958,76.9337,77.4715,76.48913597,-5.706664029,2.428238238,78.91737421
